State,Latitude,Longitude,SpringName
CO,37.741,-107.03399999999999,ANTELOPE SPRING    
CO,37.728,-107.054,BIRDSIE WARM SPRING  
CO,38.653,-106.056,BROWNS CANYON WARM SPRING
CO,38.634,-106.072,BROWNS GROTTO WARM SPRING
CO,38.433,-105.26100000000001,CANON CITY HOT SPRINGS
CO,38.272,-107.1,CEBOLLA HOT SPRINGS  
CO,38.836,-106.825,CEMENT CREEK HOT SPRING
CO,39.012,-106.891,CONUNDRUM HOT SPRINGS  
CO,38.812,-106.226,COTTONWOOD HOT SPRINGS  
CO,37.294000000000004,-105.78399999999999,DEXTER SPRING    
CO,39.628,-107.10600000000001,DOTSERO WARM SPRINGS  
CO,37.771,-108.09100000000001,DUNTON HOT SPRING  
CO,39.931999999999995,-105.277,ELDORADO SPRINGS    
CO,37.747,-108.117,GEYSER WARM SPRING  
CO,39.548,-107.322,GLENWOOD SPRINGS    
CO,39.016999999999996,-105.79299999999999,HARTSEL HOT SPRINGS  
CO,38.732,-106.178,HORTENSE HOT SPRING  
CO,40.073,-106.113,HOT SULPHUR SPRINGS  
CO,39.739000000000004,-105.512,IDAHO SPRINGS    
CO,40.467,-107.95200000000001,JUNIPER HOT SPRINGS  
CO,38.014,-108.054,LEMON HOT SPRING  
CO,38.516999999999996,-106.515,LOWER WAUNITA HOT SPRINGS
CO,38.168,-105.92399999999999,MINERAL HOT SPRINGS  
CO,38.733000000000004,-106.162,MOUNT PRINCETON HOT SPRINGS
CO,38.133,-107.736,ORVIS HOT SPRING  
CO,38.021,-107.67200000000001,OURAY HOT SPRINGS  
CO,37.263000000000005,-107.01100000000001,PAGOSA SPRINGS    
CO,37.751999999999995,-108.131,PARADISE WARM SPRING  
CO,39.227,-107.22399999999999,PENNY HOT SPRINGS  
CO,37.313,-107.344,PIEDRA RIVER HOT SPRINGS
CO,37.453,-107.803,PINKERTON HOT SPRINGS  
CO,38.498000000000005,-106.07600000000001,PONCHA HOT SPRINGS  
CO,37.510999999999996,-106.945,RAINBOW HOT SPRINGS  
CO,38.816,-106.87299999999999,RANGER HOT SPRING  
CO,39.164,-106.06200000000001,RHODES WARM SPRING  
CO,40.559,-106.84899999999999,ROUTT HOT SPRINGS  
CO,37.751,-106.31700000000001,SHAW SPRINGS    
CO,39.552,-107.412,SOUTH CANYON HOT SPRINGS
CO,40.483000000000004,-106.82700000000001,STEAMBOAT SPRINGS    
CO,37.033,-106.805,STINKING SPRINGS    
CO,38.479,-105.891,SWISSVALE WARM SPRINGS  
CO,37.391,-107.846,"TRIMBLE HOT SPR, STRATTEN"
CO,37.4,-107.84899999999999,TRIPP HOT SPRINGS  
CO,38.514,-106.508,UPPER WAUNITA HOT SPRINGS
CO,38.192,-105.816,VALLEY VIEW HOT SPRINGS
CO,37.747,-106.831,WAGON WHEEL GAP HOT
CO,38.485,-105.91,WELLSVILLE WARM SPRING  
MT,46.448,-111.98200000000001,ALHAMBRA HOT SPRINGS  
MT,46.106,-112.90299999999999,ANACONDA HOT SPRINGS  
MT,45.553000000000004,-110.14200000000001,ANDERSON SPRINGS    
MT,44.70399999999999,-111.89200000000001,ANDERSONS PASTURE SPRINGS  
MT,45.42,-112.69200000000001,APEX WARM SPRING  
MT,46.61,-112.555,AVON WARM SPRING  
MT,45.032,-110.667,BEAR CREEK SPRINGS  
MT,46.717,-113.32,BEARMOUTH WARM SPRING 1
MT,46.718,-113.306,BEARMOUTH WARM SPRING 2
MT,45.391999999999996,-112.45200000000001,BEAVERHEAD ROCK SPRING  
MT,46.355,-111.565,BEDFORD HOT SPRINGS  
MT,45.698,-114.382,BLUE JOINT HOT SPRING
MT,45.696999999999996,-114.365,BLUE JOINT HOT SPRINGS
