SC  LATITUDE  LONGITUDE  "Popular" or USGS Spring Name        TF   TC   P.P. 492  Circ. 790  NOAA  AMS                    USGS Quadrangle
__  ________  _________  ___________________________________  ___  ___  ________  _________  ____  _____________________  ___________________________
AK   55.9830   -131.661  BAILEY HOT SPRING                    198   92        76         27     1  KETCHIKAN              KETCHIKAN (D-5) 15           
AK   57.0850   -134.839  BARANOF WARM SPRINGS                 124   51        69       null     1  SITKA                  SITKA (A-3) 15               
AK   56.6800   -131.882  BARNES LAKE HOT SPRINGS               79   26      null       null     1  BRADFIELD CANAL        (BRADFIELD CANAL (C-6) 15)   
AK   55.9330   -131.559  BELL ISLAND HOT SPRINGS              165   74        79         28     2  KETCHIKAN              KETCHIKAN (D-5) 15           
AK   56.2330   -131.267  BRADFIELD CANAL HOT SPRINGS          135   57      null       null     2  BRADFIELD CANAL        (BRADFIELD CANAL (A-4) 15)   
AK   65.0530   -146.057  CHENA HOT SPRINGS                    153   67        18         14     1  CIRCLE                 CIRCLE (A-5) 15              
AK   56.7170   -132.005  CHIEF SHAKES HOT SPRINGS             122   50        73         26     1  PETERSBURG             (PETERSBURG (C-1) 15)        
AK   52.8400   -169.900  CHUGINADAK HOT SPRINGS                 H    H        39       null     2  SAMALGA ISLAND         null                         
AK   65.4830   -144.637  CIRCLE HOT SPRINGS                   135   57        19         15     1  CIRCLE                 CIRCLE (B-2) 15              
AK   64.8500   -162.300  CLEAR CREEK HOT SPRINGS              149   65      null          5     1  SOLOMON                (SOLOMON (D-1) 15)           
AK   66.2170   -149.547  DALL HOT SPRINGS                     129   54      null       null     1  BEAVER                 (BEAVER (A-6) 15)            
AK   55.3340   -133.641  DALTON (CRAIG) HOT SPRINGS           109   43      null       null     1  CRAIG                  CRAIG (B-5) 15               
AK   65.9080   -154.993  DENIKTOW RIDGE HOT SPRINGS             H    H      null       null     2  MELOZITNA              MELOZITNA (D-4) 15           
AK   55.3680   -161.961  FUMAROLE                               H    H        52       null     1  PORT MOLLER            null                         
AK   51.7750   -178.793  FUMAROLES ON GARELOI ISLAND            H    H      null       null     1  GARELOI ISLAND         null                         
AK   51.7620   -178.770  FUMAROLES ON GARELOI ISLAND          144   62      null       null     2  GARELOI ISLAND         null                         
AK   51.9250   -177.160  FUMAROLES ON KANAGA ISLAND           219  104        32       null     1  ADAK                   null                         
AK   51.9440    178.547  FUMAROLES ON LITTLE SITKIN ISLAND      H    H      null       null     3  RAT ISLANDS            null                         
AK   51.9630    178.491  FUMAROLES ON LITTLE SITKIN ISLAND      H    H      null       null     2  RAT ISLANDS            null                         
AK   51.9670    178.444  FUMAROLES ON LITTLE SITKIN ISLAND      H    H      null       null     1  RAT ISLANDS            null                         
AK   57.8650   -156.499  GAS ROCKS HOT SPRING                 127   53        56       null     1  UGASHIK                (UGASHIK (D-2) 15)           
AK   56.8360   -135.374  GODDARD HOT SPRINGS                  153   67        70         25     1  PORT ALEXANDER         PORT ALEXANDER (D-5) 15      
AK   65.3670   -161.250  GRANITE MOUNTAIN HOT SPRINGS         120   49         8       null     1  CANDLE                 (CANDLE (B-5) 15)            
AK   64.9240   -154.837  HORNER HOT SPRINGS                   117   47         9       null     1  RUBY                   RUBY (D-4) 15                
AK   61.2670   -151.238  HOT LAKE IN BOTTOM OF CRATER PEAK      H    H      null       null     1  TYONEK                 (TYONEK (B-6) 15)            
AK   55.3340   -162.137  HOT SPRING AT WEST END EMMONS LAKE    68   20      null       null     1  COLD BAY               null                         
AK   67.4030   -153.883  HOT SPRING NEAR ARRIGETCH PEAKS        W    W      null       null     1  SURVEY PASS            null                         
AK   57.3480   -135.385  HOT SPRING NEAR FISH BAY             117   47        68         24     4  SITKA                  SITKA (B-5) 15               
AK   62.4500   -157.933  HOT SPRING NEAR FLAT                   W    W        24       null     1  IDITAROD               (IDITAROD (B-4) 15)          
AK   58.2400   -155.090  HOT SPRING NEAR KATMAI PASS            H    H        57       null     1  MT. KATMAI             (MT. KATMAI (A-4) 15)        
AK   64.7000   -162.467  HOT SPRING NEAR KWINIUK RIVER        106   41         7       null     2  SOLOMON                (SOLOMON (C-1) 15)           
AK   65.4500   -150.000  HOT SPRING NEAR LITTLE MINOOK CR       H    H        16       null     3  TANANA                 (TANANA (B-1) 15)            
AK   57.1780   -157.015  HOT SPRING NEAR MOTHER GOOSE LAKE    138   59      null       null     1  UGASHIK                (UGASHIK (A-4) 15)           
AK   55.8630   -160.493  HOT SPRING NEAR PORT MOLLER          160   71        54       null     1  PORT MOLLER            PORT MOLLER (D-2) 15         
AK   61.0580   -160.692  HOT SPRING NEAR TULUKSAK RIVER         H    H        25       null     1  RUSSIAN MISSION        (RUSSIAN MISSION (A-5) 15)   
AK   57.7710   -135.820  HOT SPRING NORTH ARM PERIL STRAIT    100   38        66       null     2  SITKA                  (SITKA (D-6) 15)             
AK   54.9000   -162.885  HOT SPRING ON AMAGAT ISLAND            H    H        51       null     1  FALSE PASS             (FALSE PASS (D-3) 15)        
AK   52.8700    173.130  HOT SPRING ON ATTU ISLAND              W    W        28       null     1  ATTU                   null                         
AK   65.0470   -142.848  HOT SPRING ON FLAT CREEK               W    W        21       null     1  CHARLEY RIVER          (CHARLEY RIVER (A-4) 15)     
AK   52.9600   -169.710  HOT SPRING ON KAGAMIL ISLAND           H    H        40       null     1  SAMALGA ISLAND         null                         
AK   51.9400    178.500  HOT SPRING ON LITTLE SITKIN ISLAND     H    H        29       null     4  RAT ISLANDS            null                         
AK   52.3580   -172.317  HOT SPRING ON SEGUAM ISLAND            H    H        38       null     1  SEGUAM                 null                         
AK   51.8100   -177.790  HOT SPRING ON TANAGA ISLAND            H    H        31       null     2  ADAK                   null                         
AK   64.0020   -156.300  HOT SPRING ON TRIBUTARY OF INNOKO R    H    H        13       null     1  NULATO                 (NULATO (A-1) 15)            
AK   60.8370   -142.420  HOT SPRING ON TWELVEMILE CREEK         W    W        27       null     1  BERING GLACIER         null                         
AK   53.2330   -168.300  HOT SPRING ON UMNAK ISLAND           149   65        42         19     5  UMNAK                  null                         
AK   54.6600   -164.550  HOT SPRING ON UNIMAK ISLAND            H    H        49       null     1  UNIMAK                 null                         
AK   58.9200   -153.980  HOT SPRING WEST OF CAPE DOUGLAS        H    H        59       null     1  AFOGNAK                (AFOGNAK (D-6) 15)           
AK   55.2170   -162.483  HOT SPRINGS EAST OF COLD BAY         129   54      null         21     2  COLD BAY               null                         
AK   63.8830   -150.717  HOT SPRINGS EAST OF DIAMOND            W    W        22       null     1  MT. MCKINLEY           (MT. MCKINLEY (D-2)          
AK   66.3670   -156.767  HOT SPRINGS NEAR DIVISION BM         140   60         3       null     1  SHUNGNAK               null                         
AK   65.2670   -155.280  HOT SPRINGS NEAR DULBI RIVER         126   52      null          7     1  MELOZITNA              (MELOZITNA (B-5) 15)         
AK   53.2130   -168.463  HOT SPRINGS NEAR GEYSER BIGHT        216  102        41         18     7  UMNAK                  null                         
AK   53.2070   -168.445  HOT SPRINGS NEAR GEYSER BIGHT          H    H        41         18     8  UMNAK                  null                         
AK   53.2230   -168.477  HOT SPRINGS NEAR GEYSER BIGHT        214  101        41         18     6  UMNAK                  null                         
AK   63.6830   -151.233  HOT SPRINGS NEAR GLACIER               W    W        23       null     1  MT. MCKINLEY           (MT. MCKINLEY (C-3)          
AK   54.1570   -165.850  HOT SPRINGS NEAR HOT SPRINGS BAY     181   83        46         20     3  UNIMAK                 null                         
AK   53.2420   -168.365  HOT SPRINGS NEAR HOT SPRINGS COVE    192   89        43         17     4  UMNAK                  null                         
AK   53.2530   -168.358  HOT SPRINGS NEAR HOT SPRINGS COVE    158   70        43         17     3  UMNAK                  null                         
AK   58.3700   -137.090  HOT SPRINGS NEAR ICY POINT           153   67      null       null     1  MT. FAIRWEATHER        (MT. FAIRWEATHER (B-4) 15)   
AK   65.2170   -162.900  HOT SPRINGS NEAR LAVA CREEK          127   53      null          4     1  BENDELEBEN             (BENDELEBEN (A-2) 15)        
AK   53.8480   -166.873  HOT SPRINGS NEAR MAKUSHIN VOLCANO     94   34        45       null     4  UNALASKA               null                         
AK   53.8510   -166.918  HOT SPRINGS NEAR MAKUSHIN VOLCANO      H    H        45       null     3  UNALASKA               null                         
AK   54.9440   -163.251  HOT SPRINGS NEAR MORZHOVOI           145   63        50       null     1  FALSE PASS             null                         
